Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
158.6,148.9,116.0,175.1,15.0,953.3,719.7,28,27.68
374.0,0.0,0.0,190.0,7.0,1013.0,730.0,28,39.05
122.6,183.9,0.0,203.5,0.0,958.2,800.1,28,24.29
424.0,22.0,132.0,178.0,8.5,882.0,750.0,3,32.01
154.8,0.0,142.8,193.3,9.1,877.2,867.7,28,9.74
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,3,11.85
238.1,0.0,94.1,186.7,7.0,949.9,847.0,100,44.3
298.2,0.0,107.0,209.7,11.1,879.6,744.2,28,31.88
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,3,12.45
210.7,316.1,0.0,185.7,0.0,977.0,689.3,28,37.81
337.9,189.0,0.0,174.9,9.5,944.7,755.8,28,49.9
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28,36.45
192.0,288.0,0.0,192.0,0.0,929.8,716.1,28,39.32
198.6,132.4,0.0,192.0,0.0,978.4,825.5,28,28.02
295.7,0.0,95.6,171.5,8.9,955.1,859.2,3,22.95
166.8,250.2,0.0,203.5,0.0,975.6,692.6,28,33.95
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,3,23.52
374.0,189.2,0.0,170.1,10.1,926.1,756.7,7,46.2
296.0,0.0,0.0,186.0,0.0,1090.0,769.0,28,25.18
425.0,106.3,0.0,151.4,18.6,936.0,803.7,91,66.7
393.0,0.0,0.0,192.0,0.0,940.0,758.0,3,19.11
380.0,0.0,0.0,228.0,0.0,932.0,670.0,365,52.52
193.5,290.2,0.0,185.7,0.0,998.2,704.3,7,17.2
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,7,38.0
122.6,183.9,0.0,203.5,0.0,958.2,800.1,7,10.35
374.3,0.0,0.0,190.2,6.7,1013.2,730.4,28,39.06
297.0,0.0,0.0,186.0,0.0,1040.0,734.0,7,30.96
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,28,31.12
296.0,0.0,106.7,221.4,10.5,819.2,778.4,28,31.42
275.0,0.0,0.0,183.0,0.0,1088.0,808.0,7,14.2
516.0,0.0,0.0,162.0,8.2,801.0,802.0,28,41.37
350.0,0.0,0.0,186.0,0.0,1050.0,770.0,28,34.29
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,90,40.66
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,28,39.16
212.0,141.3,0.0,203.5,0.0,973.4,750.0,7,15.03
183.9,122.6,0.0,203.5,0.0,959.2,800.0,90,32.53
289.0,134.0,0.0,195.0,6.0,924.0,760.0,28,46.24
135.0,105.0,193.0,196.0,6.0,965.0,643.0,28,21.91
183.9,122.6,0.0,203.5,0.0,959.2,800.0,7,10.79
310.0,0.0,0.0,192.0,0.0,970.0,850.0,90,34.68
212.0,141.3,0.0,203.5,0.0,973.4,750.0,90,39.7
276.0,116.0,90.0,180.0,9.0,870.0,768.0,28,44.28
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,56,48.99
304.0,76.0,0.0,228.0,0.0,932.0,670.0,270,54.38
342.0,38.0,0.0,228.0,0.0,932.0,670.0,365,56.14
424.0,22.0,132.0,168.0,8.9,822.0,750.0,56,74.36
401.8,94.7,0.0,147.4,11.4,946.8,852.1,91,75.5
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,41.05
531.3,0.0,0.0,141.8,28.2,852.1,893.7,91,59.2
144.8,0.0,133.6,180.8,11.1,979.5,811.5,28,13.2
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.9
375.0,93.8,0.0,126.6,23.4,852.1,992.6,91,62.5
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,14,25.62
149.0,139.0,109.0,193.0,6.0,892.0,780.0,28,23.69
424.0,22.0,132.0,178.0,8.5,822.0,750.0,7,39.0
143.0,169.0,143.0,191.0,8.0,967.0,643.0,28,29.72
387.0,20.0,94.0,157.0,13.9,938.0,845.0,56,47.97
238.1,0.0,94.1,186.7,7.0,949.9,847.0,28,30.23
313.3,145.0,0.0,178.5,8.0,867.2,824.0,28,40.93
375.0,93.8,0.0,126.6,23.4,852.1,992.6,7,45.7
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,14,48.4
300.0,0.0,0.0,184.0,0.0,1075.0,795.0,28,26.85
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,28,27.77
307.0,0.0,0.0,193.0,0.0,968.0,812.0,365,36.15
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,3,41.64
342.0,38.0,0.0,228.0,0.0,932.0,670.0,270,55.06
290.4,0.0,96.2,168.1,9.4,961.2,865.0,3,22.5
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,14,34.24
322.0,0.0,0.0,203.0,0.0,974.0,800.0,180,29.59
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14,38.6
305.3,203.5,0.0,203.5,0.0,965.4,631.0,7,25.89
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,14,59.76
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,29.07
305.3,203.5,0.0,203.5,0.0,965.4,631.0,90,54.6
158.0,0.0,195.0,220.0,11.0,898.0,713.0,28,8.54
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,28,24.48
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,3,13.62
200.0,133.0,0.0,192.0,0.0,965.4,806.2,7,17.17
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180,44.21
439.0,177.0,0.0,186.0,11.1,884.9,707.9,3,39.3
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,120,39.38
300.0,0.0,120.0,212.0,10.0,878.0,728.0,28,23.84
333.0,17.5,163.0,167.0,17.9,996.0,652.0,28,47.28
385.0,0.0,0.0,186.0,0.0,966.0,763.0,1,6.27
153.0,102.0,0.0,192.0,0.0,888.0,943.1,3,4.78
160.2,188.0,146.4,203.2,11.3,828.7,709.7,28,35.31
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,28,47.4
325.0,0.0,0.0,184.0,0.0,1063.0,783.0,7,17.54
238.1,0.0,0.0,185.7,0.0,1118.8,789.3,7,10.34
446.0,24.0,79.0,162.0,11.6,967.0,712.0,3,35.36
387.0,20.0,94.0,157.0,11.6,938.0,845.0,56,61.46
339.2,0.0,0.0,185.7,0.0,1069.2,754.3,7,21.18
516.0,0.0,0.0,162.0,8.3,801.0,802.0,28,41.37
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,90,29.39
277.1,0.0,97.4,160.6,11.8,973.9,875.6,28,48.28
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,56,31.35
290.4,0.0,96.2,168.1,9.4,961.2,865.0,14,34.67
151.8,178.1,138.7,167.5,18.3,944.0,694.6,28,36.35
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,100,56.63
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,100,40.57
500.0,0.0,0.0,140.0,4.0,966.0,853.0,28,67.57
133.0,200.0,0.0,192.0,0.0,927.4,839.2,7,13.66
349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3,15.05
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,180,61.92
238.0,0.0,0.0,185.0,0.0,1118.0,789.0,28,17.54
333.0,0.0,0.0,192.0,0.0,931.2,842.6,7,23.4
295.0,0.0,0.0,185.0,0.0,1069.0,769.0,7,14.8
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,56,36.97
265.0,111.0,86.0,195.0,6.0,833.0,790.0,28,41.54
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,39.29
144.0,136.0,106.0,178.0,7.0,941.0,774.0,28,26.14
252.5,0.0,0.0,185.7,0.0,1111.6,784.3,7,11.48
380.0,95.0,0.0,228.0,0.0,932.0,594.0,180,40.76
475.0,0.0,0.0,162.0,9.5,1044.0,662.0,28,58.52
331.0,0.0,0.0,192.0,0.0,879.0,825.0,3,13.52
397.0,17.2,158.0,167.0,20.8,967.0,633.0,28,55.65
239.6,359.4,0.0,185.7,0.0,941.6,664.3,28,39.44
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,56,54.9
250.0,0.0,95.7,187.4,5.5,956.9,861.2,56,38.33
164.0,163.0,128.0,197.0,8.0,961.0,641.0,28,27.23
259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.77
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,180,71.62
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.3
225.0,0.0,0.0,181.0,0.0,1113.0,833.0,7,11.17
212.0,141.3,0.0,203.5,0.0,973.4,750.0,3,6.81
133.0,200.0,0.0,192.0,0.0,927.4,839.2,3,6.88
262.0,111.0,86.0,195.0,5.0,895.0,733.0,28,33.72
212.0,141.3,0.0,203.5,0.0,973.4,750.0,28,33.0
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,28,24.9
238.1,0.0,94.1,186.7,7.0,949.9,847.0,14,25.69
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3,8.06
157.0,236.0,0.0,192.0,0.0,935.4,781.2,90,43.38
323.7,282.8,0.0,183.8,10.3,942.7,659.9,28,74.7
250.0,0.0,95.7,187.4,5.5,956.9,861.2,28,29.22
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,14,21.5
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,56,36.64
310.0,0.0,0.0,192.0,0.0,970.0,850.0,7,14.99
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,3,10.03
237.5,237.5,0.0,228.0,0.0,932.0,594.0,270,38.41
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,3,7.32
322.0,0.0,116.0,196.0,10.0,818.0,813.0,28,31.18
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,56,51.72
280.0,129.0,100.0,172.0,9.0,825.0,805.0,28,52.82
288.0,192.0,0.0,192.0,0.0,932.0,717.8,7,23.52
233.8,0.0,94.6,197.9,4.6,947.0,852.2,28,22.84
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,3,20.73
288.0,192.0,0.0,192.0,0.0,932.0,717.8,3,16.11
304.0,76.0,0.0,228.0,0.0,932.0,670.0,90,49.19
153.1,145.0,113.0,178.5,8.0,867.2,824.0,28,26.23
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,90,47.22
382.5,0.0,0.0,185.7,0.0,1047.8,739.3,28,37.44
303.6,139.9,0.0,213.5,6.2,895.5,722.5,28,33.42
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,100,39.23
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56,64.3
250.0,0.0,95.7,191.8,5.3,948.9,857.2,100,41.16
295.7,0.0,95.6,171.5,8.9,955.1,859.2,28,39.94
160.0,128.0,122.0,182.0,6.4,824.0,879.0,28,39.4
222.4,0.0,96.7,189.3,4.5,967.1,870.3,3,11.58
520.0,0.0,0.0,170.0,5.2,855.0,855.0,28,60.28
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,28,38.2
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,3,14.94
155.0,0.0,143.0,193.0,9.0,1047.0,697.0,28,12.46
375.0,0.0,0.0,186.0,0.0,1038.0,758.0,7,26.06
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14,47.71
266.0,114.0,0.0,228.0,0.0,932.0,670.0,365,52.91
140.0,164.0,128.0,237.0,6.0,869.0,656.0,28,35.23
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,28,63.14
339.0,0.0,0.0,197.0,0.0,968.0,781.0,14,27.04
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,28,67.31
381.4,0.0,0.0,185.7,0.0,1104.6,784.3,28,22.49
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,3,15.82
143.6,0.0,174.9,158.4,17.9,942.7,844.5,28,15.42
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,56,61.99
277.0,0.0,0.0,191.0,0.0,968.0,856.0,90,31.25
250.0,0.0,0.0,182.0,0.0,1100.0,820.0,7,12.73
144.0,0.0,175.0,158.0,18.0,943.0,844.0,28,15.42
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,100,47.82
330.5,169.6,0.0,194.9,8.1,811.0,802.3,28,56.62
279.8,128.9,100.4,172.4,9.5,825.1,804.9,28,52.83
446.0,24.0,79.0,162.0,11.6,967.0,712.0,56,55.25
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,28,40.23
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59
331.0,0.0,0.0,192.0,0.0,978.0,825.0,28,31.45
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,3,30.45
213.5,0.0,174.2,159.2,11.7,1043.6,771.9,28,44.64
261.0,100.0,78.0,201.0,9.0,864.0,761.0,28,32.4
250.2,166.8,0.0,203.5,0.0,977.6,694.1,7,19.35
190.3,0.0,125.2,166.6,9.9,1079.0,798.9,3,12.55
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,56,44.14
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28,44.42
491.0,26.0,123.0,201.0,3.9,822.0,699.0,28,57.92
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,56,51.43
500.0,0.0,0.0,151.0,9.0,1033.0,655.0,28,69.84
480.0,0.0,0.0,192.0,0.0,936.2,712.2,90,54.32
313.3,0.0,113.0,178.5,8.0,1001.9,688.7,28,36.8
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,28,41.2
307.0,0.0,0.0,193.0,0.0,968.0,812.0,28,27.53
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,100,37.34
264.5,111.0,86.5,195.5,5.9,832.6,790.4,28,41.54
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,100,58.61
284.0,119.7,0.0,168.3,7.2,970.4,794.2,28,40.93
254.0,0.0,0.0,198.0,0.0,968.0,863.0,90,26.94
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,3,26.06
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,3,17.57
287.3,120.5,93.9,187.6,9.2,904.4,695.9,28,43.8
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14,33.01
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,14,42.22
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,65.2
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,28,41.41
281.0,0.0,0.0,186.0,0.0,1104.0,774.0,28,22.44
342.0,38.0,0.0,228.0,0.0,932.0,670.0,90,50.46
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,100,53.66
266.0,112.0,87.0,178.0,10.0,910.0,745.0,28,39.42
520.0,0.0,0.0,175.0,5.2,870.0,805.0,28,51.02
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,28,31.97
382.0,0.0,0.0,185.0,0.0,1047.0,739.0,28,37.42
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,14,26.77
228.0,342.1,0.0,185.7,0.0,955.8,674.3,7,21.92
310.0,143.0,0.0,168.0,10.0,914.0,804.0,28,45.3
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,7,52.61
190.3,0.0,125.2,166.6,9.9,1079.0,798.9,56,31.72
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,14,29.75
375.0,0.0,0.0,186.0,0.0,1038.0,758.0,28,38.21
213.5,0.0,174.2,159.2,11.7,1043.6,771.9,3,15.61
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,28,52.2
446.0,24.0,79.0,162.0,11.6,967.0,712.0,3,23.35
255.0,0.0,0.0,192.0,0.0,889.8,945.0,28,18.75
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,14,25.48
337.9,189.0,0.0,174.9,9.5,944.7,755.8,91,67.8
202.0,11.0,141.0,206.0,1.7,942.0,801.0,56,23.25
491.0,26.0,123.0,210.0,3.9,882.0,699.0,28,55.55
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,28,31.64
237.5,237.5,0.0,228.0,0.0,932.0,594.0,365,39.0
200.0,133.0,0.0,192.0,0.0,965.4,806.2,28,30.44
276.4,116.0,90.3,179.6,8.9,870.1,768.3,28,44.28
162.0,207.0,172.0,216.0,10.0,822.0,638.0,28,39.84
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,100,40.39
142.0,167.0,130.0,174.0,11.0,883.0,785.0,28,44.61
331.0,0.0,0.0,192.0,0.0,978.0,825.0,3,13.52
162.0,190.1,148.1,178.8,18.8,838.1,741.4,28,33.76
475.0,0.0,0.0,228.0,0.0,932.0,594.0,90,42.23
236.0,157.0,0.0,192.0,0.0,972.6,749.1,28,32.88
424.0,22.0,132.0,178.0,8.5,822.0,750.0,28,62.05
451.0,0.0,0.0,165.0,11.3,1030.0,745.0,28,78.8
190.0,190.0,0.0,228.0,0.0,932.0,670.0,180,46.93
275.0,0.0,0.0,183.0,0.0,1088.0,808.0,28,24.5
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,3,15.52
475.0,0.0,0.0,228.0,0.0,932.0,594.0,270,42.13
255.5,170.3,0.0,185.7,0.0,1026.6,724.3,7,17.24
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,3,7.75
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,100,56.81
374.0,189.2,0.0,170.1,10.1,926.1,756.7,3,34.4
122.6,183.9,0.0,203.5,0.0,958.2,800.1,90,33.19
314.0,145.3,113.2,178.9,8.0,869.1,690.2,28,46.23
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,100,40.15
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,45.85
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,14,21.6
304.0,140.0,0.0,214.0,6.0,895.0,722.0,28,33.42
531.3,0.0,0.0,141.8,28.2,852.1,893.7,28,56.4
266.0,114.0,0.0,228.0,0.0,932.0,670.0,270,51.73
296.0,0.0,107.0,221.0,11.0,819.0,778.0,28,31.42
236.0,0.0,0.0,194.0,0.0,968.0,885.0,14,12.84
151.6,0.0,111.9,184.4,7.9,992.0,815.9,28,12.18
531.3,0.0,0.0,141.8,28.2,852.1,893.7,3,41.3
159.0,209.0,161.0,201.0,7.0,848.0,669.0,28,30.88
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,180,41.05
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,28,30.22
249.1,0.0,98.8,158.1,12.8,987.8,889.0,14,28.68
151.0,0.0,185.0,167.0,16.0,1074.0,678.0,28,13.46
446.0,24.0,79.0,162.0,10.3,967.0,712.0,28,53.39
382.5,0.0,0.0,185.7,0.0,1047.8,739.3,7,24.07
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28,28.24
425.0,106.3,0.0,151.4,18.6,936.0,803.7,7,46.8
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,56,45.08
424.0,22.0,132.0,168.0,8.9,822.0,750.0,7,40.29
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,56,53.77
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,100,50.94
170.3,155.5,0.0,185.7,0.0,1026.6,724.3,28,25.73
249.1,0.0,98.8,158.1,12.8,987.8,889.0,3,15.36
190.3,0.0,125.2,166.6,9.9,1079.0,798.9,14,19.42
388.6,97.1,0.0,157.9,12.1,852.1,925.7,3,28.1
439.0,177.0,0.0,186.0,11.1,884.9,707.9,28,66.0
200.0,133.0,0.0,192.0,0.0,965.4,806.2,90,43.25
322.5,148.6,0.0,185.8,8.5,951.0,709.5,28,52.43
281.0,0.0,0.0,186.0,0.0,1104.0,774.0,7,14.5
388.6,97.1,0.0,157.9,12.1,852.1,925.7,91,57.6
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,7,17.44
295.8,0.0,0.0,185.7,0.0,1091.4,769.3,7,14.84
203.5,305.3,0.0,203.5,0.0,963.4,630.0,28,41.68
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,14,33.09
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90,37.72
186.2,124.1,0.0,185.7,0.0,1083.4,764.3,28,17.6
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,28,59.8
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,90,35.76
173.0,116.0,0.0,192.0,0.0,946.8,856.8,28,24.28
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,3,19.42
236.0,0.0,0.0,194.0,0.0,968.0,885.0,3,6.47
446.0,24.0,79.0,162.0,10.3,967.0,712.0,56,54.77
339.0,0.0,0.0,197.0,0.0,968.0,781.0,3,13.22
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,100,59.3
475.0,0.0,0.0,228.0,0.0,932.0,594.0,7,38.6
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,28,33.94
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,56,53.46
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,28,32.66
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.9
236.0,0.0,0.0,193.0,0.0,968.0,885.0,7,9.99
141.3,212.0,0.0,203.5,0.0,971.8,748.5,90,39.66
145.7,172.6,0.0,181.9,3.4,985.8,816.8,28,23.74
108.3,162.4,0.0,203.5,0.0,938.2,849.0,7,7.72
298.0,0.0,107.0,164.0,13.0,953.0,784.0,28,35.86
290.2,193.5,0.0,185.7,0.0,998.2,704.3,28,33.04
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28,51.02
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.4
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,14,29.93
162.0,214.0,164.0,202.0,10.0,820.0,680.0,28,30.65
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,22.9
295.7,0.0,95.6,171.5,8.9,955.1,859.2,14,35.23
250.0,0.0,0.0,182.0,0.0,1100.0,820.0,28,20.87
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.29
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28,57.03
194.7,0.0,100.5,170.2,7.5,998.0,901.8,100,44.28
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,28,33.27
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,100,37.68
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,49.2
284.0,120.0,0.0,168.0,7.0,970.0,794.0,28,40.93
143.7,170.2,132.6,191.6,8.5,814.1,805.3,28,29.87
139.7,163.9,127.7,236.7,5.8,868.6,655.6,28,35.23
350.0,0.0,0.0,203.0,0.0,974.0,775.0,56,29.98
149.0,236.0,0.0,176.0,13.0,847.0,893.0,28,32.96
166.8,250.2,0.0,203.5,0.0,975.6,692.6,7,15.75
295.0,0.0,0.0,185.0,0.0,1069.0,769.0,28,25.18
153.0,145.0,113.0,178.0,8.0,1002.0,689.0,28,25.56
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,56,34.2
446.0,24.0,79.0,162.0,11.6,967.0,712.0,7,38.02
332.5,142.5,0.0,228.0,0.0,932.0,594.0,7,30.28
323.7,282.8,0.0,183.8,10.3,942.7,659.9,56,80.2
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28,38.22
150.9,0.0,183.9,166.6,11.6,991.2,772.2,28,15.57
289.0,0.0,0.0,192.0,0.0,913.2,895.3,7,14.6
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,14,20.73
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3
321.0,164.0,0.0,190.0,5.0,870.0,774.0,28,57.21
149.5,236.0,0.0,175.8,12.6,846.8,892.7,28,32.96
331.0,0.0,0.0,192.0,0.0,978.0,825.0,90,37.23
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,3,28.6
145.0,116.0,119.0,184.0,5.7,833.0,880.0,28,29.16
