"","satisfaction_level","last_evaluation","number_project","average_montly_hours","time_spend_company","Work_accident","left","promotion_last_5years","sales","salary"
"129",0.09,0.82,6,250,4,0,1,0,"support","low"
"135",0.36,0.5,2,132,3,0,1,0,"technical","low"
"140",0.73,0.87,5,257,5,0,1,0,"IT","low"
"141",0.09,0.96,6,245,4,0,1,0,"IT","low"
"142",0.45,0.53,2,155,3,0,1,0,"IT","low"
"143",0.11,0.8,6,256,4,0,1,0,"IT","low"
"144",0.37,0.47,2,152,3,0,1,0,"product_mng","low"
"146",0.41,0.46,2,151,3,0,1,0,"product_mng","low"
"147",0.76,0.92,4,239,5,0,1,0,"product_mng","low"
"148",0.11,0.87,6,306,4,0,1,0,"IT","low"
"149",0.84,0.88,4,263,5,1,1,0,"marketing","low"
"152",0.45,0.56,2,154,3,0,1,0,"marketing","low"
"153",0.37,0.52,2,143,3,0,1,0,"marketing","low"
"154",0.4,0.52,2,155,3,0,1,0,"marketing","low"
"155",0.39,0.48,2,160,3,0,1,0,"sales","low"
"156",0.11,0.8,6,304,4,0,1,0,"accounting","low"
"157",0.83,1,5,240,5,0,1,0,"support","low"
"158",0.11,0.92,6,305,4,0,1,0,"technical","low"
"159",0.39,0.5,2,136,3,0,1,0,"management","low"
"160",0.45,0.45,2,132,3,0,1,0,"marketing","low"
"161",0.1,0.95,7,301,4,0,1,0,"marketing","low"
"162",0.9,0.98,5,243,6,0,1,0,"marketing","low"
"164",0.79,0.89,5,239,5,0,1,0,"sales","low"
"165",0.9,0.99,5,260,5,0,1,0,"sales","low"
"166",0.11,0.84,7,296,4,0,1,0,"sales","low"
"168",0.31,0.54,5,132,5,0,1,0,"sales","low"
"169",0.32,0.5,2,135,5,0,1,0,"sales","low"
"170",0.45,0.57,2,158,3,0,1,0,"sales","low"
"172",0.41,0.46,2,160,3,0,1,1,"sales","low"
"177",0.41,0.48,2,148,3,0,1,0,"sales","low"
"178",0.38,0.5,2,140,3,0,1,0,"sales","medium"
"180",0.11,0.85,6,308,5,0,1,0,"sales","medium"
"182",0.1,0.84,6,261,4,0,1,0,"accounting","medium"
"184",0.11,0.8,6,285,4,0,1,0,"accounting","medium"
"185",0.36,0.55,2,141,3,0,1,0,"hr","medium"
"186",0.4,0.46,2,127,3,0,1,0,"hr","medium"
"187",0.09,0.85,6,297,4,0,1,0,"hr","medium"
"188",0.4,0.46,2,143,3,0,1,0,"hr","medium"
"191",0.09,0.8,7,283,5,0,1,0,"technical","low"
"192",0.92,0.87,4,226,6,1,1,0,"technical","medium"
"196",0.09,0.8,6,304,4,0,1,0,"technical","low"
"197",0.27,0.54,7,278,3,0,1,0,"technical","low"
"199",0.1,0.89,7,285,4,0,1,0,"technical","low"
"200",0.77,0.94,5,226,6,0,1,0,"support","low"
"201",0.9,0.82,5,259,5,0,1,0,"support","low"
"204",0.1,0.93,6,256,4,0,1,0,"support","low"
"205",0.87,0.9,5,254,6,0,1,0,"support","low"
"207",0.77,0.99,5,228,5,0,1,0,"support","low"
"208",0.78,0.87,4,228,5,0,1,0,"support","low"
"209",0.44,0.5,2,128,3,0,1,0,"support","low"
"210",0.38,0.52,2,153,3,0,1,0,"support","low"
"211",0.43,0.46,2,156,3,0,1,0,"technical","low"
"212",0.39,0.5,4,294,3,0,1,0,"technical","low"
"213",0.88,1,5,219,5,0,1,0,"technical","low"
"215",0.4,0.53,2,151,3,0,1,0,"IT","low"
"217",0.36,0.48,2,158,3,0,1,0,"IT","low"
"218",0.9,0.98,5,245,5,0,1,0,"IT","low"
"221",0.1,0.84,6,286,4,0,1,0,"product_mng","low"
"225",0.4,0.56,2,149,3,0,1,0,"accounting","low"
"226",0.9,0.97,4,258,5,0,1,0,"accounting","low"
"227",0.37,0.46,2,158,3,0,1,0,"hr","low"
"228",0.44,0.54,2,149,3,0,1,0,"hr","low"
"232",0.92,0.99,5,255,6,0,1,0,"sales","low"
"233",0.11,0.83,6,244,4,0,1,0,"accounting","low"
"234",0.42,0.56,2,134,3,0,1,0,"support","low"
"235",0.48,0.57,4,270,4,0,1,0,"technical","low"
"236",0.83,0.85,4,255,5,0,1,0,"management","low"
"237",0.4,0.53,2,151,3,0,1,0,"marketing","low"
"239",0.43,0.53,2,146,3,0,1,0,"marketing","low"
"241",0.1,0.87,7,289,4,0,1,0,"sales","low"
"243",0.38,0.53,2,156,3,0,1,0,"sales","low"
"245",0.89,0.86,5,275,5,0,1,0,"sales","low"
"247",0.37,0.48,2,159,3,0,1,0,"sales","low"
"251",0.79,0.87,5,261,5,0,1,0,"sales","low"
"252",0.79,0.92,5,254,6,0,1,0,"sales","low"
"253",0.19,0.59,7,192,3,0,1,0,"sales","low"
"254",0.87,0.98,4,248,5,0,1,0,"sales","low"
"255",0.6,0.92,2,258,5,0,1,0,"sales","low"
"257",0.11,0.81,6,266,4,1,1,0,"sales","medium"
"258",0.42,0.54,2,156,3,0,1,0,"sales","medium"
"259",0.88,0.88,5,232,5,1,1,0,"accounting","medium"
"265",0.42,0.5,2,139,3,0,1,0,"hr","medium"
"266",0.84,0.93,4,251,5,0,1,0,"technical","medium"
"267",0.11,0.95,6,286,4,0,1,0,"technical","medium"
"268",0.45,0.53,2,129,3,0,1,0,"technical","high"
"269",0.38,0.56,2,156,3,0,1,0,"technical","low"
"270",0.38,0.86,6,139,6,0,1,0,"technical","medium"
"272",0.11,0.84,6,251,4,0,1,0,"technical","medium"
"273",0.81,0.93,5,270,5,0,1,0,"technical","medium"
"274",0.09,0.96,6,296,4,0,1,0,"technical","low"
"278",0.74,0.89,5,229,6,0,1,0,"support","low"
"279",0.09,0.78,6,254,4,0,1,0,"support","low"
"282",0.27,0.56,3,301,3,0,1,0,"support","low"
"283",0.83,0.92,5,267,6,0,1,0,"support","low"
"284",0.1,0.93,6,289,4,1,1,0,"support","low"
"285",0.38,0.47,2,144,3,0,1,0,"support","low"
"286",0.4,0.56,2,148,3,0,1,0,"support","low"
"287",0.11,0.83,6,306,4,0,1,0,"support","low"
"288",0.11,0.79,6,292,4,0,1,1,"technical","low"
"289",0.82,0.91,5,232,5,0,1,0,"technical","low"
"291",0.4,0.46,2,128,3,0,1,0,"management","low"
"292",0.87,0.84,5,231,5,0,1,0,"IT","low"
"293",0.41,0.49,2,146,3,0,1,0,"IT","low"
"298",0.4,0.52,2,147,3,0,1,0,"product_mng","medium"
"299",0.45,0.48,2,136,3,0,1,0,"product_mng","medium"
"302",0.12,1,3,278,4,0,1,0,"RandD","medium"
"306",0.45,0.47,2,135,3,0,1,0,"RandD","medium"
"307",0.37,0.46,2,149,3,0,1,0,"marketing","high"
"308",0.11,0.81,5,287,4,0,1,0,"sales","low"
"309",0.41,0.48,2,145,3,0,1,0,"accounting","medium"
"310",0.1,0.94,6,285,4,0,1,0,"support","medium"
"311",0.1,0.93,7,305,4,0,1,0,"technical","medium"
"312",0.11,0.95,7,300,4,0,1,0,"management","medium"
"314",0.41,0.49,2,130,3,0,1,0,"marketing","low"
"315",0.1,0.81,6,268,4,0,1,0,"marketing","low"
"318",0.37,0.46,2,153,3,0,1,0,"sales","low"
"319",0.11,0.94,6,276,4,0,1,0,"sales","low"
"322",0.82,0.84,5,244,5,0,1,0,"sales","low"
"323",0.61,0.47,2,253,3,0,1,0,"sales","low"
"325",0.37,0.45,2,131,3,0,1,0,"sales","low"
"326",0.41,0.52,2,135,3,0,1,0,"sales","low"
"328",0.88,0.99,5,262,6,0,1,0,"sales","low"
"329",0.1,0.85,6,266,4,0,1,0,"sales","low"
"332",0.11,0.85,7,302,4,0,1,0,"sales","low"
"335",0.1,0.81,6,290,4,0,1,0,"accounting","medium"
"336",0.45,0.47,2,151,3,0,1,0,"accounting","medium"
"341",0.09,0.89,7,308,5,0,1,0,"hr","medium"
"342",0.37,0.47,2,141,3,0,1,0,"technical","medium"
"343",0.9,1,5,232,5,0,1,0,"technical","medium"
"344",0.41,0.56,2,143,3,0,1,0,"technical","medium"
"345",0.37,0.52,2,155,3,0,1,0,"technical","medium"
"346",0.1,0.86,6,278,4,0,1,0,"technical","high"
"348",0.11,0.8,6,282,4,0,1,0,"technical","medium"
"349",0.11,0.84,7,264,4,0,1,0,"technical","medium"
"351",0.09,0.8,6,304,5,0,1,0,"technical","medium"
"353",0.91,0.91,4,262,6,0,1,0,"support","low"
"354",0.43,0.57,2,135,3,0,1,0,"support","low"
"358",0.37,0.54,2,149,3,0,1,0,"support","low"
"359",0.31,0.62,6,135,5,0,1,0,"support","low"
"361",0.1,0.87,6,290,4,0,1,0,"support","low"
"362",0.76,0.9,4,263,5,0,1,0,"support","low"
"364",0.72,0.96,5,267,5,0,1,0,"technical","low"
"365",0.4,0.5,2,141,3,1,1,0,"technical","low"
"367",0.1,0.83,6,258,4,0,1,0,"management","low"
"368",0.4,0.56,2,131,3,0,1,0,"IT","low"
"369",0.82,0.86,5,243,5,0,1,0,"IT","low"
"370",0.1,0.82,6,266,4,0,1,0,"IT","low"
"371",0.37,0.45,2,142,3,0,1,0,"IT","low"
"372",0.36,0.51,2,135,3,0,1,0,"IT","low"
"374",0.36,0.57,2,142,3,0,1,0,"product_mng","medium"
"375",0.86,0.84,5,254,5,0,1,0,"product_mng","medium"
"378",0.44,0.56,2,158,3,0,1,0,"accounting","medium"
"379",0.31,0.56,4,238,2,0,1,0,"accounting","medium"
"381",0.44,0.45,2,156,3,0,1,0,"hr","medium"
"383",0.45,0.48,2,144,3,0,1,0,"marketing","medium"
"385",0.36,0.48,2,156,3,0,1,0,"accounting","high"
"387",0.1,0.93,6,298,4,0,1,0,"technical","medium"
"388",0.1,0.97,6,247,4,0,1,0,"management","medium"
"389",0.45,0.5,2,157,3,0,1,0,"marketing","medium"
"390",0.42,0.57,2,154,3,1,1,0,"marketing","medium"
"392",0.45,0.55,2,148,3,0,1,0,"sales","low"
"395",0.42,0.56,2,133,3,0,1,0,"sales","low"
"396",0.45,0.46,2,128,3,0,1,0,"sales","low"
"397",0.46,0.57,2,139,3,0,1,0,"sales","low"
"398",0.09,0.79,6,293,5,0,1,0,"sales","low"
"399",0.87,0.83,4,265,6,0,1,0,"sales","low"
"402",0.76,0.92,4,246,5,0,1,0,"sales","low"
"404",0.92,0.93,5,240,5,0,1,0,"sales","low"
"405",0.76,0.87,5,245,5,0,1,0,"sales","low"
"406",0.47,0.5,4,254,4,0,1,0,"sales","low"
"408",0.09,0.94,6,257,4,0,1,0,"sales","low"
"409",0.91,0.92,4,246,5,0,1,0,"sales","low"
"411",0.28,0.45,6,218,4,0,1,0,"accounting","low"
"413",0.45,0.53,2,138,3,0,1,0,"accounting","medium"
"414",0.45,0.54,2,142,3,0,1,0,"hr","medium"
"415",0.91,0.97,5,233,5,0,1,0,"hr","medium"
"416",0.42,0.48,2,155,3,0,1,0,"hr","medium"
"418",0.11,0.9,6,264,4,0,1,0,"technical","medium"
"419",0.42,0.53,3,199,4,0,1,0,"technical","medium"
"420",0.82,0.85,4,223,5,0,1,0,"technical","medium"
"421",0.09,0.96,6,268,4,0,1,0,"technical","medium"
"423",0.86,1,5,257,5,0,1,0,"technical","medium"
"424",0.4,0.46,2,143,3,0,1,0,"technical","high"
"427",0.74,0.92,4,261,5,0,1,0,"technical","medium"
"428",0.55,0.6,3,180,4,0,1,0,"technical","medium"
"429",0.37,0.45,2,126,3,0,1,0,"support","medium"
"432",0.41,0.57,2,160,3,0,1,0,"support","low"
"433",0.44,0.51,2,150,3,0,1,0,"support","low"
"435",0.1,0.84,6,309,4,0,1,0,"support","low"
"437",0.11,0.85,6,261,4,0,1,0,"support","low"
"438",0.43,0.53,2,160,3,0,1,0,"support","low"
"439",0.77,0.9,4,237,5,0,1,0,"support","low"
"440",0.41,0.52,2,136,3,0,1,0,"technical","low"
"441",0.41,0.48,2,139,3,0,1,0,"technical","low"
"442",0.36,0.78,2,151,4,0,1,0,"technical","low"
"444",0.81,0.98,5,245,5,0,1,0,"IT","low"
"448",0.1,0.84,5,298,4,0,1,0,"IT","low"
"449",0.36,0.48,2,159,3,0,1,0,"product_mng","low"
"451",0.81,0.9,4,226,5,0,1,0,"product_mng","medium"
"452",0.85,0.98,5,248,5,0,1,0,"product_mng","medium"
"453",0.1,0.87,6,286,4,0,1,0,"IT","medium"
"454",0.37,0.54,2,145,3,0,1,0,"RandD","medium"
"455",0.09,0.97,7,254,4,1,1,0,"RandD","medium"
"459",0.41,0.48,2,136,3,0,1,0,"marketing","medium"
"460",0.4,0.48,2,137,3,0,1,0,"sales","medium"
"462",0.43,0.5,2,137,3,0,1,0,"support","medium"
"463",0.8,0.53,3,255,5,0,1,0,"technical","high"
"464",0.8,0.85,4,273,5,0,1,0,"management","low"
"465",0.82,0.98,5,234,5,0,1,0,"marketing","medium"
"466",0.37,0.54,2,152,3,0,1,0,"marketing","medium"
"467",0.37,0.48,2,134,3,0,1,0,"marketing","medium"
"469",0.9,0.92,5,245,5,0,1,0,"sales","low"
"471",0.1,0.85,6,260,4,0,1,0,"sales","low"
"473",0.89,0.85,5,266,5,0,1,0,"sales","low"
"476",0.45,0.57,2,134,3,0,1,0,"sales","low"
"478",0.09,0.79,6,275,4,0,1,0,"sales","low"
"479",0.76,0.83,5,227,5,0,1,0,"sales","low"
"481",0.37,0.49,2,151,3,0,1,0,"sales","low"
"483",0.77,0.87,4,242,6,0,1,0,"sales","low"
"486",0.32,0.95,5,172,2,0,1,0,"sales","low"
"487",0.38,0.49,2,135,3,0,1,0,"accounting","low"
"489",0.1,0.83,7,276,4,0,1,0,"accounting","low"
"492",0.39,0.51,2,151,3,0,1,0,"hr","medium"
"493",0.11,0.83,6,244,4,0,1,0,"hr","medium"
"495",0.84,1,5,218,5,0,1,0,"technical","medium"
"497",0.1,0.82,6,244,4,0,1,0,"technical","medium"
"498",0.59,0.49,7,263,4,0,1,0,"technical","medium"
"501",0.91,0.84,5,265,5,0,1,0,"technical","medium"
"502",0.66,0.57,5,161,5,0,1,0,"technical","high"
"503",0.11,0.87,7,282,5,0,1,0,"technical","low"
"504",0.43,0.51,2,155,3,0,1,0,"technical","medium"
"505",0.78,0.83,4,217,6,0,1,0,"support","medium"
"506",0.11,0.97,6,289,5,0,1,0,"support","medium"
"507",0.83,0.98,4,259,5,0,1,0,"support","medium"
"508",0.39,0.54,2,158,3,0,1,0,"support","low"
"510",0.37,0.57,2,155,3,0,1,0,"support","low"
"511",0.44,0.48,2,146,3,0,1,0,"support","low"
"512",0.53,0.85,2,164,5,0,1,0,"support","low"
"514",0.11,0.89,6,293,4,0,1,0,"support","low"
"516",0.88,1,5,219,6,1,1,0,"technical","low"
"517",0.1,0.89,6,247,4,0,1,0,"technical","low"
"519",0.44,0.54,2,151,3,0,1,0,"management","low"
"521",0.87,0.94,4,274,5,0,1,0,"IT","low"
"522",0.74,0.99,4,233,5,0,1,0,"IT","low"
"523",0.1,0.95,7,289,4,0,1,0,"IT","low"
"524",0.74,0.82,4,239,6,0,1,0,"IT","low"
"525",0.75,0.99,5,221,5,0,1,0,"product_mng","low"
"528",0.09,0.9,7,289,4,0,1,0,"product_mng","low"
"530",0.39,0.57,2,145,3,0,1,0,"accounting","medium"
"533",0.1,0.84,6,246,4,0,1,0,"hr","medium"
"535",0.75,0.85,5,240,6,1,1,0,"marketing","medium"
"537",0.11,0.85,6,305,4,0,1,0,"accounting","medium"
"539",0.87,1,5,261,5,1,1,0,"technical","medium"
"540",0.11,0.94,7,244,4,0,1,0,"management","medium"
"542",0.81,0.87,4,254,5,0,1,0,"marketing","low"
"544",0.89,0.92,5,237,5,0,1,0,"sales","medium"
"547",0.37,0.47,2,149,3,0,1,0,"sales","low"
"550",0.41,0.47,2,138,3,0,1,0,"sales","low"
"551",0.11,0.96,6,298,4,0,1,0,"sales","low"
"552",0.75,0.99,5,254,5,0,1,0,"sales","low"
"553",0.82,0.85,5,248,5,0,1,0,"sales","low"
"555",0.43,0.53,2,150,3,0,1,0,"sales","low"
"556",0.1,0.9,7,281,4,0,1,0,"sales","low"
"558",0.43,0.57,2,157,3,0,1,0,"sales","low"
"559",0.43,0.55,2,136,3,0,1,0,"sales","low"
"560",0.11,0.8,7,296,4,0,1,0,"sales","low"
"561",0.09,0.86,6,279,4,0,1,0,"sales","low"
"564",0.1,0.77,7,291,4,0,1,0,"accounting","low"
"567",0.11,0.79,7,310,4,0,1,0,"hr","low"
"569",0.44,0.51,2,134,3,0,1,0,"hr","medium"
"571",0.44,0.52,2,137,3,0,1,0,"technical","medium"
"573",0.75,0.97,5,243,6,0,1,0,"technical","medium"
"574",0.36,0.47,2,148,3,0,1,0,"technical","medium"
"577",0.48,0.78,2,198,2,0,1,0,"technical","medium"
"578",0.57,0.72,4,275,6,0,1,0,"technical","medium"
"579",0.9,0.96,5,243,5,0,1,0,"technical","medium"
"580",0.39,0.55,2,159,3,0,1,0,"technical","high"
"584",0.44,0.56,2,145,3,0,1,0,"support","medium"
"586",0.4,0.51,2,139,3,0,1,0,"support","low"
"587",0.46,0.57,2,152,3,0,1,0,"support","low"
"590",0.39,0.54,2,155,3,0,1,0,"support","low"
"591",0.38,0.55,2,148,3,0,1,0,"support","low"
"592",0.66,0.67,2,255,3,0,1,0,"technical","low"
"594",0.37,0.54,2,132,3,0,1,0,"technical","low"
"595",0.1,0.77,6,255,4,0,1,0,"management","low"
"597",0.86,0.84,5,222,5,0,1,0,"IT","low"
"598",0.11,0.9,6,263,4,0,1,0,"IT","low"
"600",0.11,0.92,7,307,4,0,1,0,"IT","low"
"601",0.77,0.98,5,259,6,0,1,0,"product_mng","low"
"603",0.1,0.84,7,250,4,0,1,0,"product_mng","low"
"604",0.83,0.9,5,245,5,0,1,0,"product_mng","low"
"605",0.11,0.79,6,292,4,0,1,0,"IT","low"
"607",0.38,0.56,2,161,3,0,1,0,"RandD","medium"
"609",0.45,0.49,2,134,3,0,1,0,"RandD","medium"
"610",0.1,0.85,7,279,4,0,1,0,"RandD","medium"
"612",0.39,0.53,2,127,3,0,1,0,"sales","medium"
"613",0.37,0.47,2,138,3,1,1,0,"accounting","medium"
"615",0.09,0.9,7,296,4,0,1,0,"technical","medium"
"620",0.43,0.51,2,141,3,0,1,0,"sales","low"
"624",0.36,0.52,2,146,3,0,1,0,"sales","medium"
"625",0.38,0.5,2,140,3,0,1,0,"sales","low"
"626",0.78,0.98,5,263,6,0,1,0,"sales","low"
"627",0.44,0.49,2,145,3,0,1,0,"sales","low"
"629",0.72,0.85,5,244,6,0,1,0,"sales","low"
"630",0.46,0.54,2,144,3,0,1,0,"sales","low"
"633",0.11,0.89,6,260,5,0,1,0,"sales","low"
"635",0.82,0.92,5,225,5,0,1,0,"sales","low"
"636",0.39,0.57,2,127,3,0,1,0,"sales","low"
"640",0.43,0.48,2,153,3,0,1,0,"accounting","low"
"641",0.37,0.52,2,128,3,0,1,0,"accounting","low"
"644",0.37,0.47,2,148,3,0,1,0,"hr","low"
"645",0.58,0.62,4,238,3,0,1,0,"hr","low"
"648",0.46,0.5,2,151,3,0,1,0,"technical","medium"
"649",0.45,0.54,2,129,3,0,1,0,"technical","medium"
"653",0.09,0.77,6,290,4,0,1,0,"technical","medium"
"654",0.37,0.51,2,132,3,0,1,0,"technical","medium"
"658",0.43,0.55,2,130,3,0,1,0,"support","high"
"659",0.38,0.53,2,146,3,0,1,0,"support","low"
"660",0.77,0.91,5,221,6,0,1,0,"support","medium"
"663",0.78,0.89,5,274,6,0,1,0,"support","medium"
"665",0.1,0.77,5,276,4,0,1,0,"support","low"
"666",0.75,0.85,5,267,5,0,1,0,"support","low"
"668",0.91,0.97,4,274,6,0,1,0,"technical","low"
"670",0.72,0.6,3,153,5,0,1,0,"technical","low"
"671",0.11,0.95,6,245,4,0,1,0,"management","low"
"672",0.11,0.94,6,264,4,0,1,0,"IT","low"
"673",0.46,0.57,2,154,3,0,1,0,"IT","low"
"674",0.37,0.46,2,149,3,0,1,0,"IT","low"
"675",0.46,0.5,2,157,3,0,1,0,"IT","low"
"676",0.43,0.57,2,127,3,0,1,0,"IT","low"
"678",0.73,0.89,5,236,6,0,1,0,"product_mng","low"
"679",0.43,0.47,2,158,3,0,1,0,"product_mng","low"
"680",0.86,1,5,229,5,0,1,0,"product_mng","low"
"686",0.79,0.84,4,240,5,0,1,0,"sales","medium"
"687",0.1,0.96,7,255,4,0,1,0,"marketing","medium"
"688",0.09,0.92,7,254,4,0,1,0,"sales","medium"
"689",0.09,0.82,6,257,4,0,1,0,"accounting","medium"
"690",0.87,1,4,228,5,0,1,0,"support","medium"
"691",0.36,0.49,2,145,3,0,1,0,"technical","medium"
"693",0.84,0.86,5,268,5,0,1,0,"marketing","medium"
"694",0.1,0.83,6,278,4,0,1,0,"marketing","medium"
"695",0.78,0.71,3,249,5,0,1,0,"marketing","medium"
"696",0.35,0.99,3,236,4,0,1,0,"sales","medium"
"697",0.1,0.81,7,291,4,0,1,0,"sales","high"
"698",0.11,0.8,6,306,4,0,1,0,"sales","low"
"699",0.43,0.48,2,135,3,0,1,0,"sales","medium"
"700",0.38,0.45,2,156,3,0,1,0,"sales","medium"
"702",0.89,0.82,4,243,5,0,1,0,"sales","medium"
"703",0.45,0.5,2,147,3,0,1,0,"sales","low"
"705",0.74,0.54,5,216,3,0,1,0,"sales","low"
"707",0.79,0.93,4,226,5,0,1,0,"sales","low"
"708",0.79,0.91,5,271,5,0,1,0,"sales","low"
"709",0.11,0.87,6,255,4,0,1,0,"sales","low"
"710",0.42,0.48,2,140,3,0,1,0,"sales","low"
"712",0.4,0.55,2,159,3,0,1,0,"sales","low"
"715",0.4,0.51,2,144,3,0,1,0,"accounting","low"
"716",0.36,0.45,2,127,3,0,1,0,"accounting","low"
"717",0.43,0.47,2,131,3,0,1,0,"accounting","low"
"718",0.11,0.78,6,243,4,0,1,0,"hr","low"
"720",0.8,1,5,260,5,0,1,0,"hr","low"
"721",0.42,0.49,2,139,3,0,1,0,"hr","low"
"730",0.09,0.83,6,282,4,0,1,0,"technical","medium"
"731",0.43,0.47,2,128,3,0,1,0,"technical","medium"
"735",0.11,0.92,7,255,4,0,1,0,"support","medium"
"736",0.83,0.99,5,258,5,0,1,0,"support","high"
"739",0.11,0.87,6,257,4,0,1,0,"support","medium"
"740",0.11,0.85,7,275,4,0,1,0,"support","medium"
"742",0.5,0.54,5,153,4,0,1,0,"support","low"
"743",0.44,0.49,2,154,3,0,1,0,"support","low"
"744",0.11,0.9,6,301,4,0,1,0,"technical","low"
"745",0.39,0.52,2,134,3,0,1,0,"technical","low"
"746",0.11,0.78,6,245,4,0,1,0,"technical","low"
"748",0.43,0.51,2,130,3,0,1,0,"IT","low"
"751",0.38,0.49,2,145,3,0,1,0,"IT","low"
"752",0.46,0.45,2,138,3,0,1,1,"IT","low"
"753",0.37,0.57,2,129,3,0,1,0,"product_mng","low"
"754",0.43,0.52,2,150,3,0,1,0,"product_mng","low"
"755",0.66,0.93,5,253,5,0,1,0,"product_mng","low"
"756",0.37,0.48,2,160,3,0,1,0,"product_mng","low"
