,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary
207,0.77,0.99,5,228,5,0,1,0,9,2
208,0.78,0.87,4,228,5,0,1,0,9,2
209,0.44,0.5,2,128,3,0,1,0,9,2
210,0.38,0.52,2,153,3,0,1,0,9,2
211,0.43,0.46,2,156,3,0,1,0,10,2
212,0.39,0.5,4,294,3,0,1,0,10,2
213,0.88,1,5,219,5,0,1,0,10,2
215,0.4,0.53,2,151,3,0,1,0,3,2
217,0.36,0.48,2,158,3,0,1,0,3,2
218,0.9,0.98,5,245,5,0,1,0,3,2
221,0.1,0.84,6,286,4,0,1,0,6,2
225,0.4,0.56,2,149,3,0,1,0,1,2
226,0.9,0.97,4,258,5,0,1,0,1,2
227,0.37,0.46,2,158,3,0,1,0,2,2
228,0.44,0.54,2,149,3,0,1,0,2,2
232,0.92,0.99,5,255,6,0,1,0,8,2
233,0.11,0.83,6,244,4,0,1,0,1,2
234,0.42,0.56,2,134,3,0,1,0,9,2
235,0.48,0.57,4,270,4,0,1,0,10,2
236,0.83,0.85,4,255,5,0,1,0,4,2
237,0.4,0.53,2,151,3,0,1,0,5,2
239,0.43,0.53,2,146,3,0,1,0,5,2
241,0.1,0.87,7,289,4,0,1,0,8,2
243,0.38,0.53,2,156,3,0,1,0,8,2
245,0.89,0.86,5,275,5,0,1,0,8,2
247,0.37,0.48,2,159,3,0,1,0,8,2
251,0.79,0.87,5,261,5,0,1,0,8,2
252,0.79,0.92,5,254,6,0,1,0,8,2
253,0.19,0.59,7,192,3,0,1,0,8,2
254,0.87,0.98,4,248,5,0,1,0,8,2
255,0.6,0.92,2,258,5,0,1,0,8,2
257,0.11,0.81,6,266,4,1,1,0,8,3
258,0.42,0.54,2,156,3,0,1,0,8,3
259,0.88,0.88,5,232,5,1,1,0,1,3
265,0.42,0.5,2,139,3,0,1,0,2,3
266,0.84,0.93,4,251,5,0,1,0,10,3
267,0.11,0.95,6,286,4,0,1,0,10,3
268,0.45,0.53,2,129,3,0,1,0,10,1
269,0.38,0.56,2,156,3,0,1,0,10,2
270,0.38,0.86,6,139,6,0,1,0,10,3
272,0.11,0.84,6,251,4,0,1,0,10,3
273,0.81,0.93,5,270,5,0,1,0,10,3
274,0.09,0.96,6,296,4,0,1,0,10,2
278,0.74,0.89,5,229,6,0,1,0,9,2
279,0.09,0.78,6,254,4,0,1,0,9,2
282,0.27,0.56,3,301,3,0,1,0,9,2
283,0.83,0.92,5,267,6,0,1,0,9,2
284,0.1,0.93,6,289,4,1,1,0,9,2
285,0.38,0.47,2,144,3,0,1,0,9,2
286,0.4,0.56,2,148,3,0,1,0,9,2
287,0.11,0.83,6,306,4,0,1,0,9,2
288,0.11,0.79,6,292,4,0,1,1,10,2
289,0.82,0.91,5,232,5,0,1,0,10,2
291,0.4,0.46,2,128,3,0,1,0,4,2
292,0.87,0.84,5,231,5,0,1,0,3,2
293,0.41,0.49,2,146,3,0,1,0,3,2
298,0.4,0.52,2,147,3,0,1,0,6,3
299,0.45,0.48,2,136,3,0,1,0,6,3
302,0.12,1,3,278,4,0,1,0,7,3
306,0.45,0.47,2,135,3,0,1,0,7,3
307,0.37,0.46,2,149,3,0,1,0,5,1
308,0.11,0.81,5,287,4,0,1,0,8,2
309,0.41,0.48,2,145,3,0,1,0,1,3
310,0.1,0.94,6,285,4,0,1,0,9,3
311,0.1,0.93,7,305,4,0,1,0,10,3
312,0.11,0.95,7,300,4,0,1,0,4,3
314,0.41,0.49,2,130,3,0,1,0,5,2
315,0.1,0.81,6,268,4,0,1,0,5,2
318,0.37,0.46,2,153,3,0,1,0,8,2
319,0.11,0.94,6,276,4,0,1,0,8,2
322,0.82,0.84,5,244,5,0,1,0,8,2
323,0.61,0.47,2,253,3,0,1,0,8,2
325,0.37,0.45,2,131,3,0,1,0,8,2
326,0.41,0.52,2,135,3,0,1,0,8,2
328,0.88,0.99,5,262,6,0,1,0,8,2
329,0.1,0.85,6,266,4,0,1,0,8,2
332,0.11,0.85,7,302,4,0,1,0,8,2
335,0.1,0.81,6,290,4,0,1,0,1,3
336,0.45,0.47,2,151,3,0,1,0,1,3
341,0.09,0.89,7,308,5,0,1,0,2,3
342,0.37,0.47,2,141,3,0,1,0,10,3
343,0.9,1,5,232,5,0,1,0,10,3
344,0.41,0.56,2,143,3,0,1,0,10,3
345,0.37,0.52,2,155,3,0,1,0,10,3
346,0.1,0.86,6,278,4,0,1,0,10,1
348,0.11,0.8,6,282,4,0,1,0,10,3
349,0.11,0.84,7,264,4,0,1,0,10,3
351,0.09,0.8,6,304,5,0,1,0,10,3
353,0.91,0.91,4,262,6,0,1,0,9,2
354,0.43,0.57,2,135,3,0,1,0,9,2
358,0.37,0.54,2,149,3,0,1,0,9,2
359,0.31,0.62,6,135,5,0,1,0,9,2
361,0.1,0.87,6,290,4,0,1,0,9,2
362,0.76,0.9,4,263,5,0,1,0,9,2
364,0.72,0.96,5,267,5,0,1,0,10,2
365,0.4,0.5,2,141,3,1,1,0,10,2
367,0.1,0.83,6,258,4,0,1,0,4,2
368,0.4,0.56,2,131,3,0,1,0,3,2
369,0.82,0.86,5,243,5,0,1,0,3,2
370,0.1,0.82,6,266,4,0,1,0,3,2
371,0.37,0.45,2,142,3,0,1,0,3,2
372,0.36,0.51,2,135,3,0,1,0,3,2
374,0.36,0.57,2,142,3,0,1,0,6,3
375,0.86,0.84,5,254,5,0,1,0,6,3
378,0.44,0.56,2,158,3,0,1,0,1,3
379,0.31,0.56,4,238,2,0,1,0,1,3
381,0.44,0.45,2,156,3,0,1,0,2,3
383,0.45,0.48,2,144,3,0,1,0,5,3
385,0.36,0.48,2,156,3,0,1,0,1,1
387,0.1,0.93,6,298,4,0,1,0,10,3
388,0.1,0.97,6,247,4,0,1,0,4,3
389,0.45,0.5,2,157,3,0,1,0,5,3
390,0.42,0.57,2,154,3,1,1,0,5,3
392,0.45,0.55,2,148,3,0,1,0,8,2
395,0.42,0.56,2,133,3,0,1,0,8,2
396,0.45,0.46,2,128,3,0,1,0,8,2
397,0.46,0.57,2,139,3,0,1,0,8,2
398,0.09,0.79,6,293,5,0,1,0,8,2
399,0.87,0.83,4,265,6,0,1,0,8,2
402,0.76,0.92,4,246,5,0,1,0,8,2
404,0.92,0.93,5,240,5,0,1,0,8,2
405,0.76,0.87,5,245,5,0,1,0,8,2
406,0.47,0.5,4,254,4,0,1,0,8,2
408,0.09,0.94,6,257,4,0,1,0,8,2
409,0.91,0.92,4,246,5,0,1,0,8,2
411,0.28,0.45,6,218,4,0,1,0,1,2
413,0.45,0.53,2,138,3,0,1,0,1,3
414,0.45,0.54,2,142,3,0,1,0,2,3
415,0.91,0.97,5,233,5,0,1,0,2,3
416,0.42,0.48,2,155,3,0,1,0,2,3
418,0.11,0.9,6,264,4,0,1,0,10,3
419,0.42,0.53,3,199,4,0,1,0,10,3
420,0.82,0.85,4,223,5,0,1,0,10,3
421,0.09,0.96,6,268,4,0,1,0,10,3
423,0.86,1,5,257,5,0,1,0,10,3
424,0.4,0.46,2,143,3,0,1,0,10,1
427,0.74,0.92,4,261,5,0,1,0,10,3
428,0.55,0.6,3,180,4,0,1,0,10,3
429,0.37,0.45,2,126,3,0,1,0,9,3
432,0.41,0.57,2,160,3,0,1,0,9,2
433,0.44,0.51,2,150,3,0,1,0,9,2
435,0.1,0.84,6,309,4,0,1,0,9,2
437,0.11,0.85,6,261,4,0,1,0,9,2
438,0.43,0.53,2,160,3,0,1,0,9,2
439,0.77,0.9,4,237,5,0,1,0,9,2
440,0.41,0.52,2,136,3,0,1,0,10,2
441,0.41,0.48,2,139,3,0,1,0,10,2
442,0.36,0.78,2,151,4,0,1,0,10,2
444,0.81,0.98,5,245,5,0,1,0,3,2
448,0.1,0.84,5,298,4,0,1,0,3,2
449,0.36,0.48,2,159,3,0,1,0,6,2
451,0.81,0.9,4,226,5,0,1,0,6,3
452,0.85,0.98,5,248,5,0,1,0,6,3
453,0.1,0.87,6,286,4,0,1,0,3,3
454,0.37,0.54,2,145,3,0,1,0,7,3
455,0.09,0.97,7,254,4,1,1,0,7,3
459,0.41,0.48,2,136,3,0,1,0,5,3
460,0.4,0.48,2,137,3,0,1,0,8,3
462,0.43,0.5,2,137,3,0,1,0,9,3
463,0.8,0.53,3,255,5,0,1,0,10,1
464,0.8,0.85,4,273,5,0,1,0,4,2
465,0.82,0.98,5,234,5,0,1,0,5,3
466,0.37,0.54,2,152,3,0,1,0,5,3
467,0.37,0.48,2,134,3,0,1,0,5,3
469,0.9,0.92,5,245,5,0,1,0,8,2
471,0.1,0.85,6,260,4,0,1,0,8,2
473,0.89,0.85,5,266,5,0,1,0,8,2
476,0.45,0.57,2,134,3,0,1,0,8,2
478,0.09,0.79,6,275,4,0,1,0,8,2
479,0.76,0.83,5,227,5,0,1,0,8,2
481,0.37,0.49,2,151,3,0,1,0,8,2
483,0.77,0.87,4,242,6,0,1,0,8,2
486,0.32,0.95,5,172,2,0,1,0,8,2
487,0.38,0.49,2,135,3,0,1,0,1,2
489,0.1,0.83,7,276,4,0,1,0,1,2
492,0.39,0.51,2,151,3,0,1,0,2,3
493,0.11,0.83,6,244,4,0,1,0,2,3
495,0.84,1,5,218,5,0,1,0,10,3
497,0.1,0.82,6,244,4,0,1,0,10,3
498,0.59,0.49,7,263,4,0,1,0,10,3
501,0.91,0.84,5,265,5,0,1,0,10,3
502,0.66,0.57,5,161,5,0,1,0,10,1
503,0.11,0.87,7,282,5,0,1,0,10,2
504,0.43,0.51,2,155,3,0,1,0,10,3
505,0.78,0.83,4,217,6,0,1,0,9,3
506,0.11,0.97,6,289,5,0,1,0,9,3
507,0.83,0.98,4,259,5,0,1,0,9,3
508,0.39,0.54,2,158,3,0,1,0,9,2
510,0.37,0.57,2,155,3,0,1,0,9,2
511,0.44,0.48,2,146,3,0,1,0,9,2
512,0.53,0.85,2,164,5,0,1,0,9,2
514,0.11,0.89,6,293,4,0,1,0,9,2
516,0.88,1,5,219,6,1,1,0,10,2
517,0.1,0.89,6,247,4,0,1,0,10,2
519,0.44,0.54,2,151,3,0,1,0,4,2
521,0.87,0.94,4,274,5,0,1,0,3,2
522,0.74,0.99,4,233,5,0,1,0,3,2
523,0.1,0.95,7,289,4,0,1,0,3,2
524,0.74,0.82,4,239,6,0,1,0,3,2
525,0.75,0.99,5,221,5,0,1,0,6,2
528,0.09,0.9,7,289,4,0,1,0,6,2
530,0.39,0.57,2,145,3,0,1,0,1,3
533,0.1,0.84,6,246,4,0,1,0,2,3
535,0.75,0.85,5,240,6,1,1,0,5,3
537,0.11,0.85,6,305,4,0,1,0,1,3
539,0.87,1,5,261,5,1,1,0,10,3
540,0.11,0.94,7,244,4,0,1,0,4,3
542,0.81,0.87,4,254,5,0,1,0,5,2
544,0.89,0.92,5,237,5,0,1,0,8,3
547,0.37,0.47,2,149,3,0,1,0,8,2
550,0.41,0.47,2,138,3,0,1,0,8,2
551,0.11,0.96,6,298,4,0,1,0,8,2
552,0.75,0.99,5,254,5,0,1,0,8,2
553,0.82,0.85,5,248,5,0,1,0,8,2
555,0.43,0.53,2,150,3,0,1,0,8,2
556,0.1,0.9,7,281,4,0,1,0,8,2
558,0.43,0.57,2,157,3,0,1,0,8,2
559,0.43,0.55,2,136,3,0,1,0,8,2
560,0.11,0.8,7,296,4,0,1,0,8,2
561,0.09,0.86,6,279,4,0,1,0,8,2
564,0.1,0.77,7,291,4,0,1,0,1,2
567,0.11,0.79,7,310,4,0,1,0,2,2
569,0.44,0.51,2,134,3,0,1,0,2,3
571,0.44,0.52,2,137,3,0,1,0,10,3
573,0.75,0.97,5,243,6,0,1,0,10,3
574,0.36,0.47,2,148,3,0,1,0,10,3
577,0.48,0.78,2,198,2,0,1,0,10,3
578,0.57,0.72,4,275,6,0,1,0,10,3
579,0.9,0.96,5,243,5,0,1,0,10,3
580,0.39,0.55,2,159,3,0,1,0,10,1
584,0.44,0.56,2,145,3,0,1,0,9,3
586,0.4,0.51,2,139,3,0,1,0,9,2
587,0.46,0.57,2,152,3,0,1,0,9,2
590,0.39,0.54,2,155,3,0,1,0,9,2
591,0.38,0.55,2,148,3,0,1,0,9,2
592,0.66,0.67,2,255,3,0,1,0,10,2
594,0.37,0.54,2,132,3,0,1,0,10,2
595,0.1,0.77,6,255,4,0,1,0,4,2
597,0.86,0.84,5,222,5,0,1,0,3,2
598,0.11,0.9,6,263,4,0,1,0,3,2
600,0.11,0.92,7,307,4,0,1,0,3,2
601,0.77,0.98,5,259,6,0,1,0,6,2
603,0.1,0.84,7,250,4,0,1,0,6,2
604,0.83,0.9,5,245,5,0,1,0,6,2
605,0.11,0.79,6,292,4,0,1,0,3,2
607,0.38,0.56,2,161,3,0,1,0,7,3
609,0.45,0.49,2,134,3,0,1,0,7,3
610,0.1,0.85,7,279,4,0,1,0,7,3
612,0.39,0.53,2,127,3,0,1,0,8,3
613,0.37,0.47,2,138,3,1,1,0,1,3
615,0.09,0.9,7,296,4,0,1,0,10,3
620,0.43,0.51,2,141,3,0,1,0,8,2
624,0.36,0.52,2,146,3,0,1,0,8,3
625,0.38,0.5,2,140,3,0,1,0,8,2
626,0.78,0.98,5,263,6,0,1,0,8,2
627,0.44,0.49,2,145,3,0,1,0,8,2
629,0.72,0.85,5,244,6,0,1,0,8,2
630,0.46,0.54,2,144,3,0,1,0,8,2
633,0.11,0.89,6,260,5,0,1,0,8,2
635,0.82,0.92,5,225,5,0,1,0,8,2
636,0.39,0.57,2,127,3,0,1,0,8,2
640,0.43,0.48,2,153,3,0,1,0,1,2
641,0.37,0.52,2,128,3,0,1,0,1,2
644,0.37,0.47,2,148,3,0,1,0,2,2
645,0.58,0.62,4,238,3,0,1,0,2,2
648,0.46,0.5,2,151,3,0,1,0,10,3
649,0.45,0.54,2,129,3,0,1,0,10,3
653,0.09,0.77,6,290,4,0,1,0,10,3
654,0.37,0.51,2,132,3,0,1,0,10,3
658,0.43,0.55,2,130,3,0,1,0,9,1
659,0.38,0.53,2,146,3,0,1,0,9,2
660,0.77,0.91,5,221,6,0,1,0,9,3
663,0.78,0.89,5,274,6,0,1,0,9,3
665,0.1,0.77,5,276,4,0,1,0,9,2
666,0.75,0.85,5,267,5,0,1,0,9,2
668,0.91,0.97,4,274,6,0,1,0,10,2
670,0.72,0.6,3,153,5,0,1,0,10,2
671,0.11,0.95,6,245,4,0,1,0,4,2
672,0.11,0.94,6,264,4,0,1,0,3,2
673,0.46,0.57,2,154,3,0,1,0,3,2
674,0.37,0.46,2,149,3,0,1,0,3,2
675,0.46,0.5,2,157,3,0,1,0,3,2
676,0.43,0.57,2,127,3,0,1,0,3,2
678,0.73,0.89,5,236,6,0,1,0,6,2
679,0.43,0.47,2,158,3,0,1,0,6,2
680,0.86,1,5,229,5,0,1,0,6,2
686,0.79,0.84,4,240,5,0,1,0,8,3
687,0.1,0.96,7,255,4,0,1,0,5,3
688,0.09,0.92,7,254,4,0,1,0,8,3
689,0.09,0.82,6,257,4,0,1,0,1,3
690,0.87,1,4,228,5,0,1,0,9,3
691,0.36,0.49,2,145,3,0,1,0,10,3
693,0.84,0.86,5,268,5,0,1,0,5,3
694,0.1,0.83,6,278,4,0,1,0,5,3
695,0.78,0.71,3,249,5,0,1,0,5,3
696,0.35,0.99,3,236,4,0,1,0,8,3
697,0.1,0.81,7,291,4,0,1,0,8,1
698,0.11,0.8,6,306,4,0,1,0,8,2
699,0.43,0.48,2,135,3,0,1,0,8,3
700,0.38,0.45,2,156,3,0,1,0,8,3
702,0.89,0.82,4,243,5,0,1,0,8,3
703,0.45,0.5,2,147,3,0,1,0,8,2
705,0.74,0.54,5,216,3,0,1,0,8,2
707,0.79,0.93,4,226,5,0,1,0,8,2
708,0.79,0.91,5,271,5,0,1,0,8,2
709,0.11,0.87,6,255,4,0,1,0,8,2
710,0.42,0.48,2,140,3,0,1,0,8,2
712,0.4,0.55,2,159,3,0,1,0,8,2
715,0.4,0.51,2,144,3,0,1,0,1,2
716,0.36,0.45,2,127,3,0,1,0,1,2
717,0.43,0.47,2,131,3,0,1,0,1,2
718,0.11,0.78,6,243,4,0,1,0,2,2
720,0.8,1,5,260,5,0,1,0,2,2
721,0.42,0.49,2,139,3,0,1,0,2,2
730,0.09,0.83,6,282,4,0,1,0,10,3
731,0.43,0.47,2,128,3,0,1,0,10,3
735,0.11,0.92,7,255,4,0,1,0,9,3
736,0.83,0.99,5,258,5,0,1,0,9,1
739,0.11,0.87,6,257,4,0,1,0,9,3
740,0.11,0.85,7,275,4,0,1,0,9,3
742,0.5,0.54,5,153,4,0,1,0,9,2
743,0.44,0.49,2,154,3,0,1,0,9,2
744,0.11,0.9,6,301,4,0,1,0,10,2
745,0.39,0.52,2,134,3,0,1,0,10,2
746,0.11,0.78,6,245,4,0,1,0,10,2
748,0.43,0.51,2,130,3,0,1,0,3,2
751,0.38,0.49,2,145,3,0,1,0,3,2
752,0.46,0.45,2,138,3,0,1,1,3,2
753,0.37,0.57,2,129,3,0,1,0,6,2
754,0.43,0.52,2,150,3,0,1,0,6,2
755,0.66,0.93,5,253,5,0,1,0,6,2
756,0.37,0.48,2,160,3,0,1,0,6,2
757,0.77,0.92,5,235,5,0,1,0,3,2
759,0.39,0.54,2,127,3,0,1,0,8,2
760,0.41,0.55,2,151,3,0,1,0,8,2
761,0.1,0.9,7,290,4,0,1,0,8,2
762,0.09,0.93,6,249,4,0,1,0,8,2
763,0.41,0.47,2,131,3,0,1,0,5,3
764,0.39,0.46,2,159,3,0,1,0,8,3
765,0.83,0.99,4,223,5,0,1,0,1,3
766,0.09,0.87,3,214,2,0,1,0,9,3
767,0.75,0.81,5,227,5,0,1,0,10,3
768,0.44,0.54,2,127,3,0,1,0,4,3
775,0.38,0.5,2,152,3,0,1,0,8,1
776,0.39,0.57,2,158,3,0,1,0,8,2
777,0.1,0.97,6,254,5,0,1,0,8,3
778,0.11,0.93,6,294,4,0,1,0,8,3
781,0.44,0.65,3,271,4,0,1,0,8,2
783,0.72,1,4,245,5,0,1,0,8,2
786,0.85,0.99,5,248,5,0,1,0,8,2
787,0.78,0.93,5,225,5,0,1,0,8,2
788,0.39,0.46,2,156,3,0,1,0,8,2
789,0.78,0.81,3,222,2,0,1,0,8,2
792,0.11,0.87,6,301,4,0,1,0,1,2
793,0.9,0.83,5,259,5,0,1,0,1,2
794,0.91,0.89,4,247,5,0,1,0,2,2
796,0.43,0.54,2,150,3,0,1,0,2,2
797,0.45,0.49,2,151,3,0,1,0,2,2
798,0.11,0.91,5,291,4,0,1,0,10,2
799,0.11,0.93,6,253,4,1,1,0,10,2
800,0.43,0.5,2,161,3,0,1,0,10,2
801,0.91,0.97,4,251,6,0,1,0,10,2
802,0.43,0.55,2,153,3,0,1,0,10,3
803,0.85,0.82,5,264,6,0,1,0,10,3
804,0.1,0.77,6,310,4,0,1,0,10,3
805,0.81,0.95,5,266,5,0,1,0,10,3
807,0.45,0.54,2,138,3,0,1,0,10,3
808,0.86,1,5,227,5,0,1,0,10,3
811,0.84,0.93,5,236,5,0,1,0,9,3
813,0.38,0.49,2,127,3,0,1,0,9,3
816,0.8,0.97,4,218,5,1,1,0,9,3
817,0.84,0.97,5,251,5,0,1,0,9,3
818,0.11,0.87,6,264,4,0,1,0,9,3
819,0.89,0.79,3,149,2,0,1,0,9,3
820,0.45,0.51,2,138,3,0,1,0,10,2
822,0.74,0.93,5,244,5,0,1,0,10,2
826,0.11,0.86,6,308,4,0,1,0,3,2
827,0.1,0.93,6,269,4,0,1,0,3,2
828,0.7,0.74,6,136,3,0,1,0,3,2
829,0.59,1,2,160,5,0,1,0,6,2
831,0.72,0.95,4,220,5,0,1,0,6,2
833,0.39,0.48,2,161,3,0,1,0,3,2
836,0.11,0.78,6,300,4,1,1,0,7,2
839,0.81,0.9,5,238,6,0,1,0,5,2
840,0.37,0.53,2,126,3,0,1,0,8,2
844,0.66,0.47,7,156,2,0,1,0,4,3
845,0.39,0.47,2,152,3,0,1,0,5,3
846,0.44,0.51,2,146,3,0,1,0,5,3
848,0.79,0.94,5,227,6,0,1,0,8,3
849,0.1,0.81,6,301,4,1,1,0,8,3
850,0.54,0.94,6,294,3,0,1,0,8,3
851,0.37,0.47,2,151,3,0,1,0,8,3
855,0.79,0.9,5,263,5,0,1,0,8,3
856,0.42,0.56,2,156,3,0,1,0,8,3
858,0.11,0.78,6,303,4,0,1,0,8,3
859,0.74,1,4,253,5,0,1,0,8,2
861,0.79,1,4,218,5,0,1,0,8,2
862,0.43,0.48,2,144,3,0,1,0,8,2
864,0.39,0.55,2,146,3,0,1,0,8,2
866,0.82,0.85,5,218,5,0,1,0,8,2
867,0.41,0.46,2,128,3,0,1,0,1,2
868,0.42,0.56,2,128,3,0,1,0,1,2
869,0.74,0.88,4,248,6,0,1,0,1,2
870,0.38,0.57,2,152,3,1,1,0,2,2
871,0.39,0.56,2,126,3,0,1,0,2,2
872,0.87,0.94,4,260,5,0,1,0,2,2
874,0.78,1,5,220,5,0,1,0,10,2
877,0.91,0.94,5,257,5,0,1,0,10,2
881,0.38,0.88,3,154,4,0,1,0,10,3
884,0.37,0.51,2,128,3,0,1,0,10,3
